Table,Table 2 - Regulatory Capital - Bank of America California N.A.,,December 31 2024
Entity,Bank of America California N.A.,,
(Dollars in millions except ratios),Basel 3 Standardized,Basel 3 Advanced,
Regulatory Capital,,,
Common equity tier 1 capital,1802,1802,
Tier 1 capital,1802,1802,
Total capital (2),1815,1808,
Assets,,,
Risk-weighted assets,5600,3000,
Adjusted quarterly average assets (3),16377,16377,
Supplementary Leverage Exposure,,16377,
Capital Ratios,,,
Common equity tier 1 capital,32.2%,60.1%,
Tier 1 capital,32.2%,60.1%,
Total capital,32.4%,60.3%,
Tier 1 leverage,11.0%,11.0%,
Supplementary Leverage Ratio,,11.0%,
