Regulatory Capital,,At December 31 2024,,
$ in millions,,Standardized Approach,,Advanced Approach
Morgan Stanley,,,,
CET1 capital,,$,"75,095",$,"75,095"
Tier 1 capital,,$,"84,790",$,"84,790"
Total capital,,$,"95,567",$,"94,846"
Total RWA,,$,"471,834",$,"477,331"
CET1 capital ratio,,15.9%,,15.7%
Tier 1 capital ratio,,18.0%,,17.8%
Total capital ratio,,20.3%,,19.9%
Adjusted average assets,,$,"1,223,779",,N/A
Tier 1 leverage ratio,,6.9%,,N/A
Supplementary leverage exposure,,N/A,,$,"1,517,687"
SLR,,N/A,,5.6%
,,,,
Morgan Stanley Bank N.A.,,,,
CET1 capital ratio,,20.1%,,24.7%
Tier 1 capital ratio,,20.1%,,24.7%
Total capital ratio,,20.9%,,25.3%
Tier 1 leverage ratio,,9.7%,,N/A
SLR,,N/A,,7.4%
,,,,
Morgan Stanley Private Bank N.A.,,,,
CET1 capital ratio,,26.1%,,48.0%
Tier 1 capital ratio,,26.1%,,48.0%
Total capital ratio,,26.6%,,48.5%
Tier 1 leverage ratio,,7.7%,,N/A
SLR,,N/A,,7.5%
