General Disclosure for Counterparty Credit Risk,,,
$ in millions,,At December 31 2024,
Derivative and Other Contracts:,,,
Gross positive fair value,,$,"338,291"
Counterparty netting benefit,,,"(259,513)"
Net current credit exposure,,$,"78,778"
Securities collateral,,,"(17,837)"
Cash collateral,,,"(40,209)"
Net exposure (after netting and collateral),,$,"20,732"
,,,
Securities Financing Transactions:,,,
Repo-Style Transactions:,,,
"  Gross notional exposure",,$,"575,277"
"  Net exposure (after netting and collateral)",,,"8,694"
Eligible Margin Loans:,,,
"  Gross notional exposure (note 1)",,$,"124,316"
,,,
"Note 1: At December 31, 2024, the fair value of the collateral held exceeded the carrying value of margin loans.",,,
